Delitos o faltas,Loprado,Mariapinto,Sanbernardo,Caleradetango,Estacióncentral,Pirque,Tiltil,Lascondes,Peñaflor,Vitacura,Independencia,Total,Providencia,Ñuñoa,Laflorida,Lapintana,Islademaipo,Puentealto,Loespejo,Sanmiguel,Buin,Alhué,Renca,Peñalolen,Macul,Sanjoaquin,Lacisterna,Curacaví,Sanpedro,Elbosque,Paine,Colina,Quilicura,Elmonte,Cerronavia,Conchalí,Talagante,Pudahuel,Pedroaguirrecerda,Recoleta,Lareina,Melipilla,Quintanormal,Huechuraba,Maipú,Lampa,Lobarnechea,Sanramon,Lagranja,Cerrillos,Padrehurtado,Sanjosedemaipo,Santiago
Delitos contra la vida o integridad de las personas,1730,191,4741,420,2507,314,349,1417,1202,363,1477,96832,1435,1703,3967,2977,491,7719,1437,1396,1586,126,2517,2837,1169,1322,1499,594,147,2387,1079,2327,2717,551,2617,1815,1138,3654,1579,2905,652,2168,1992,1295,5294,2048,806,1366,1927,1259,953,425,6371
Amenazas,1152,125,2910,271,1486,221,241,719,764,186,773,60140,739,936,2478,1984,297,5074,901,866,958,85,1532,1786,708,904,916,372,94,1622,641,1362,1722,389,1762,1168,754,2382,1031,1639,349,1316,1244,864,3418,1308,435,896,1331,752,629,260,3473
Robos violentos,1426,25,2950,110,4768,46,127,941,298,305,1472,77587,2866,2072,3166,1308,75,3865,1153,2296,547,7,1481,1342,1192,1142,1759,85,17,1304,273,942,1894,78,1369,1535,240,2401,1032,3650,456,613,2487,863,4224,756,178,820,1250,1238,217,29,12904
Robos con violencia o intimidación,1017,21,2425,103,2445,42,118,478,233,233,1071,52847,1252,1184,2063,1113,67,3037,861,1269,457,6,1226,1036,851,776,1283,69,17,1030,242,820,1703,70,1183,1261,191,1889,783,2303,302,489,1910,650,3397,687,134,635,1003,941,180,24,6273
Robos con violencia o intimidación,880,20,1825,77,2259,29,79,431,199,154,1004,44577,1174,980,1679,862,63,2317,745,1097,334,6,1111,831,653,657,1038,61,16,812,216,657,1309,62,1032,1093,168,1472,651,2151,258,425,1649,526,2682,526,127,530,807,744,155,16,5934
Robo violento de vehículo motorizado,137,1,600,26,186,13,39,47,34,79,67,8270,78,204,384,251,4,720,116,172,123,0,115,205,198,119,245,8,1,218,26,163,394,8,151,168,23,417,132,152,44,64,261,124,715,161,7,105,196,197,25,8,339
Robo por sorpresa,409,4,525,7,2323,4,9,463,65,72,401,24740,1614,888,1103,195,8,828,292,1027,90,1,255,306,341,366,476,16,0,274,31,122,191,8,186,274,49,512,249,1347,154,124,577,213,827,69,44,185,247,297,37,5,6631
Delitos asociados a drogas,43,7,175,20,204,17,7,50,42,12,78,4479,69,85,153,159,15,316,95,36,40,0,79,66,62,57,34,19,1,118,25,96,80,28,79,51,55,139,82,214,22,118,58,46,210,47,55,107,54,49,20,11,774
Tráfico de sustancias,7,2,17,4,42,4,2,8,5,0,13,720,8,14,20,24,1,66,21,11,5,0,30,13,15,17,9,3,0,34,5,7,10,6,8,2,4,39,17,25,3,20,8,5,23,5,18,17,16,4,3,0,80
Microtráfico de sustancias,23,3,104,11,110,2,3,26,30,4,48,2469,36,47,45,50,4,127,57,19,19,0,36,42,28,28,9,7,0,40,9,48,56,14,52,35,28,59,51,154,15,79,35,34,123,25,26,77,21,34,12,7,517
 Luminarias Publicas,8031,2300,1071,3000~,8828,3600~,4000~,24000,3400~ ,9500~,7200,,13500,16000,35000,17335,3359,42000,8949,7500~,17000,1500~ ,11500,20000,17000,9500~,9000~,5250~,8200,8000~,8500~ ,6336,15000,3900,8200,9871,7500,16132,7600,14000,10973,15000,7150,9000,38000,14000,17735,8704,17000,725~,4000,3000~,37054
Superficie en Km^2,"6,7","393,4",155,"73,3","14,1","445,3",653,"99,4","69,2","28,3","7,4",,"14,4","16,9","70,2","30,6","188,7","88,2","7,2","9,6","214,2","845,2","24,2","54,2","12,9","9,7",10,"693,9","788,3","14,2",678,"971,2","57,5","118,1",11,"10,7","125,5","197,4","9,7","16,2","23,4","1344,8","12,4","44,8",133,"451,9","1044,3","6,5",10,21,"80,8","4994,8",22
Superficie Habitada en Km^2,"6,4","15,7",93,"14,7","13,8","44,5","19,6","39,8","31,1","21,2","7,3",,"14,3","16,7","42,1","27,5","22,6",75,"7,1","9,5","32,1","8,5","14,5","27,1","12,6","9,5","9,8","20,8","15,7","13,5","40,7","116,5","31,6","17,7","10,5","10,5","31,4","59,2","9,6","14,6","16,4","53,8","12,2","24,6","86,5","45,2","52,2","6,4","9,9","18,9","24,2","49,9","21,6"
Cantidad de Luminara publicas x Superficie habitada,"1254,84","146,5","11,52","204,08","639,71","80,9","204,08","603,02","109,32","448,11","986,3",,"944,06","958,08","831,35","630,36","148,63",560,"1260,42","789,47","529,6","176,47","793,1","738,01","1349,21",1000,"918,37","252,4","522,29","592,59","208,85","54,39","474,68","220,34","780,95","940,1","238,85","272,5","791,67","958,9","669,09","278,81","586,07","365,85","439,31","309,73","339,75",1360,"1717,17","38,36","165,29","60,12","1715,46"
